"filename", "language", "Markdown", "JSON with Comments", "PowerShell", "TypeScript", "log", "JavaScript", "MS SQL", "XML", "JSON", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\permissions\service.ts", "TypeScript", 0, 0, 0, 394, 0, 0, 0, 0, 0, 0, 0, 56, 450
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\business-excellence-calculations.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 12, 73
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\business-excellence-coverage.ts", "TypeScript", 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 19, 258
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\business-excellence-vas.ts", "TypeScript", 0, 0, 0, 268, 0, 0, 0, 0, 0, 0, 0, 28, 296
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\dealer-branch.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\dealer-filter.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\ro-billing-audit.ts", "TypeScript", 0, 0, 0, 572, 0, 0, 0, 0, 0, 0, 0, 32, 604
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\purchase-orders\access.ts", "TypeScript", 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 28, 241
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\redis\cache-utils.ts", "TypeScript", 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 3, 35, 254
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\redis\client.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 7, 9, 44
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\reports\service-dashboard-email.ts", "TypeScript", 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 23, 167
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\supabase\admin.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 2, 18
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\supabase\client.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 2, 19
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\supabase\middleware.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 8, 9, 71
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\supabase\server.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 3, 31
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\supabase\storage.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 24, 20, 134
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
